zone;pollutant;emission;unit
BU08520009;PM10;0.01678644;Mg
BU08520009;NOX;3.5251524;Mg
BU08520300;NOX;2.4226356;Mg
BU08520300;PM10;0.01153636;Mg
BU08520301;NOX;3.4526184;Mg
BU08520301;PM10;0.01644104;Mg
BU08520302;NOX;2.6547444;Mg
BU08520302;PM10;0.01264164;Mg
BU08520400;NOX;2.3646084;Mg
BU08520400;PM10;0.01126004;Mg
BU08520500;PM10;0.01395416;Mg
BU08520500;NOX;2.9303736;Mg
BU08529997;NOX;0;Mg
BU08529997;PM10;0;Mg
BU16960601;NOX;2.2775676;Mg
BU16960601;PM10;0.01084556;Mg
BU19040801;NOX;3.6267;Mg
BU19040801;PM10;0.01727;Mg
BU19040802;PM10;0;Mg
BU19040802;NOX;0;Mg
BU19040803;PM10;0;Mg
BU19040803;NOX;0;Mg
BU19040804;PM10;0.010362;Mg
BU19040804;NOX;2.17602;Mg
BU19040805;NOX;2.9593872;Mg
BU19040805;PM10;0.01409232;Mg
