Years,Months,Dates,Hours,TotalHeating
2014,6,15,15,144
2014,6,15,16,139.9
2014,6,15,17,138.7
2014,6,15,18,137.8
2014,6,15,19,145.5
2014,6,15,20,146.4
2014,6,15,21,146.2
2014,6,15,22,146.5
2014,6,15,23,148.2
2014,6,16,0,141.8
2014,6,16,1,138.7
2014,6,16,2,135.5
2014,6,16,3,134.4
2014,6,16,4,132.9
2014,6,16,5,133.6
2014,6,16,6,140.2
2014,6,16,7,163.1
2014,6,16,8,168.2
2014,6,16,9,159.6
2014,6,16,10,152.9
2014,6,16,11,140.7
2014,6,16,12,134.9
2014,6,16,13,130.4
2014,6,16,14,130
2014,6,16,15,125.3
2014,6,16,16,125.8
2014,6,16,17,126.4
2014,6,16,18,131.2
2014,6,16,19,137.8
2014,6,16,20,140.7
2014,6,16,21,140.7
2014,6,16,22,137.5
2014,6,16,23,139.5
2014,6,17,0,134.5
2014,6,17,1,129.2
2014,6,17,2,131.5
2014,6,17,3,132.5
2014,6,17,4,134.7
2014,6,17,5,138.3
2014,6,17,6,145
2014,6,17,7,165.9
2014,6,17,8,165.8
2014,6,17,9,155
2014,6,17,10,146.1
2014,6,17,11,138.8
2014,6,17,12,136.9
2014,6,17,13,133.3
2014,6,17,14,128.1
2014,6,17,15,124.2
2014,6,17,16,120.6
2014,6,17,17,123.6
2014,6,17,18,124.1
2014,6,17,19,130.3
2014,6,17,20,133.3
2014,6,17,21,131.1
2014,6,17,22,128.7
2014,6,17,23,128.5
2014,6,18,0,127.9
2014,6,18,1,121.6
2014,6,18,2,121.6
2014,6,18,3,122.6
2014,6,18,4,124.2
2014,6,18,5,127.5
2014,6,18,6,134.2
2014,6,18,7,160.6
2014,6,18,8,165.9
2014,6,18,9,151.1
2014,6,18,10,147.3
2014,6,18,11,135.2
2014,6,18,12,133.7
2014,6,18,13,132.6
2014,6,18,14,129.3
2014,6,18,15,128.1
2014,6,18,16,124.9
2014,6,18,17,127.5
2014,6,18,18,127.2
2014,6,18,19,135.2
2014,6,18,20,136.2
2014,6,18,21,134.3
2014,6,18,22,133.6
2014,6,18,23,124.1
2014,6,19,0,123.2
2014,6,19,1,129
2014,6,19,2,126.3
2014,6,19,3,128.4
2014,6,19,4,128.2
2014,6,19,5,129.1
2014,6,19,6,135.3
2014,6,19,7,156
2014,6,19,8,164.1
2014,6,19,9,156.9
2014,6,19,10,155.8
2014,6,19,11,155.7
2014,6,19,12,156.4
2014,6,19,13,152.9
2014,6,19,14,151.6
2014,6,19,15,151.2
2014,6,19,16,150.2
2014,6,19,17,146.4
2014,6,19,18,147.4
2014,6,19,19,148.8
2014,6,19,20,151.6
2014,6,19,21,145.9
2014,6,19,22,145.8
2014,6,19,23,151.1
2014,6,20,0,146.5
2014,6,20,1,143.9
2014,6,20,2,140.6
2014,6,20,3,141.8
2014,6,20,4,142.8
2014,6,20,5,144.5
2014,6,20,6,153.3
2014,6,20,7,176.2
2014,6,20,8,176.8
2014,6,20,9,163.9
2014,6,20,10,159.1
2014,6,20,11,153.8
2014,6,20,12,153.1
2014,6,20,13,155.5
2014,6,20,14,152.6
2014,6,20,15,154.1
2014,6,20,16,151.8
2014,6,20,17,156.1
2014,6,20,18,160.1
2014,6,20,19,160.6
2014,6,20,20,159
2014,6,20,21,157.7
2014,6,20,22,163.2
2014,6,20,23,161.1
2014,6,21,0,160.5
2014,6,21,1,159.4
2014,6,21,2,160.4
2014,6,21,3,163
2014,6,21,4,163.3
2014,6,21,5,166.3
2014,6,21,6,166.4
2014,6,21,7,169.4
2014,6,21,8,171.2
2014,6,21,9,181.8
2014,6,21,10,184.7
2014,6,21,11,182.5
2014,6,21,12,174.1
2014,6,21,13,171.5
2014,6,21,14,164.4
2014,6,21,15,160.2
2014,6,21,16,157.1
2014,6,21,17,157
2014,6,21,18,155.4
2014,6,21,19,161.9
2014,6,21,20,160.7
2014,6,21,21,159.3
2014,6,21,22,158.3
2014,6,21,23,158.5
2014,6,22,0,159.9
2014,6,22,1,160.7
2014,6,22,2,160.9
2014,6,22,3,162.4
2014,6,22,4,165.4
2014,6,22,5,168.7
2014,6,22,6,170.1
2014,6,22,7,170.5
2014,6,22,8,170.1
2014,6,22,9,175.1
2014,6,22,10,177.2
2014,6,22,11,175.5
2014,6,22,12,168.2
2014,6,22,13,162.4
2014,6,22,14,158.6
2014,6,22,15,153.9
2014,6,22,16,150.2
2014,6,22,17,149.9
2014,6,22,18,150
2014,6,22,19,158.8
2014,6,22,20,161.2
2014,6,22,21,161.1
2014,6,22,22,162.9
2014,6,22,23,163.8
2014,6,23,0,162.2
2014,6,23,1,158.3
2014,6,23,2,159.8
2014,6,23,3,160.3
2014,6,23,4,163.6
2014,6,23,5,165.7
2014,6,23,6,177.8
2014,6,23,7,198.5
2014,6,23,8,196.6
2014,6,23,9,183.6
2014,6,23,10,173
2014,6,23,11,167.2
2014,6,23,12,161.2
2014,6,23,13,154.5
2014,6,23,14,154.3
2014,6,23,15,150.8
2014,6,23,16,151
2014,6,23,17,151.3
2014,6,23,18,150.7
2014,6,23,19,156.7
2014,6,23,20,155.5
2014,6,23,21,157.3
2014,6,23,22,161.9
2014,6,23,23,160.1
2014,6,24,0,156.5
2014,6,24,1,152.9
2014,6,24,2,155.7
2014,6,24,3,156.2
