Years,Months,Dates,Hours,NL_load_
2010,1,20,13,16000
2010,1,20,14,15890
2010,1,20,15,15931
2010,1,20,16,16849
2010,1,20,17,16543
2010,1,20,18,16137
2010,1,20,19,15223
2010,1,20,20,14357
2010,1,20,21,13242
2010,1,20,22,12111
2010,1,20,23,10920
2010,1,21,0,10110
2010,1,21,1,9763
2010,1,21,2,9689
2010,1,21,3,9738
2010,1,21,4,10147
2010,1,21,5,11612
2010,1,21,6,14189
2010,1,21,7,15759
2010,1,21,8,16239
2010,1,21,9,16369
2010,1,21,10,16435
2010,1,21,11,16248
2010,1,21,12,16384
2010,1,21,13,16341
2010,1,21,14,16272
2010,1,21,15,16371
2010,1,21,16,17085
2010,1,21,17,16768
2010,1,21,18,16357
2010,1,21,19,15484
2010,1,21,20,14427
2010,1,21,21,13228
2010,1,21,22,12165
2010,1,21,23,11007
2010,1,22,0,10201
2010,1,22,1,9826
2010,1,22,2,9688
2010,1,22,3,9729
2010,1,22,4,10162
2010,1,22,5,11586
2010,1,22,6,14109
2010,1,22,7,15729
2010,1,22,8,16224
2010,1,22,9,16376
2010,1,22,10,16378
2010,1,22,11,16087
2010,1,22,12,16040
2010,1,22,13,15849
2010,1,22,14,15550
2010,1,22,15,15505
2010,1,22,16,16451
2010,1,22,17,16288
2010,1,22,18,15786
2010,1,22,19,14897
2010,1,22,20,13817
2010,1,22,21,12804
2010,1,22,22,11997
2010,1,22,23,10976
2010,1,23,0,10143
2010,1,23,1,9692
2010,1,23,2,9483
2010,1,23,3,9405
2010,1,23,4,9491
2010,1,23,5,9997
2010,1,23,6,10995
2010,1,23,7,12284
2010,1,23,8,13535
2010,1,23,9,14134
2010,1,23,10,14335
2010,1,23,11,14244
2010,1,23,12,14008
2010,1,23,13,13724
2010,1,23,14,13536
2010,1,23,15,13793
2010,1,23,16,14913
2010,1,23,17,15010
2010,1,23,18,14507
2010,1,23,19,13741
2010,1,23,20,13001
2010,1,23,21,12355
2010,1,23,22,11487
2010,1,23,23,10617
2010,1,24,0,9904
2010,1,24,1,9419
2010,1,24,2,9212
2010,1,24,3,9145
2010,1,24,4,9154
2010,1,24,5,9404
2010,1,24,6,9916
2010,1,24,7,10637
2010,1,24,8,11479
2010,1,24,9,12234
2010,1,24,10,12677
2010,1,24,11,12948
2010,1,24,12,12878
2010,1,24,13,12690
2010,1,24,14,12479
2010,1,24,15,12608
2010,1,24,16,14063
2010,1,24,17,14592
2010,1,24,18,14441
2010,1,24,19,13991
2010,1,24,20,13227
2010,1,24,21,12382
2010,1,24,22,11232
2010,1,24,23,10268
2010,1,25,0,9706
2010,1,25,1,9459
2010,1,25,2,9462
2010,1,25,3,9557
2010,1,25,4,10000
2010,1,25,5,11485
2010,1,25,6,13995
2010,1,25,7,15744
2010,1,25,8,16286
2010,1,25,9,16479
2010,1,25,10,16643
2010,1,25,11,16484
2010,1,25,12,16631
2010,1,25,13,16505
2010,1,25,14,16325
2010,1,25,15,16378
2010,1,25,16,17110
2010,1,25,17,16920
2010,1,25,18,16495
2010,1,25,19,15680
2010,1,25,20,14753
2010,1,25,21,13541
2010,1,25,22,12451
2010,1,25,23,11223
2010,1,26,0,10526
2010,1,26,1,10208
2010,1,26,2,10146
2010,1,26,3,10197
2010,1,26,4,10614
2010,1,26,5,12095
2010,1,26,6,14595
2010,1,26,7,16087
2010,1,26,8,16597
2010,1,26,9,16733
2010,1,26,10,16729
2010,1,26,11,16418
2010,1,26,12,16386
2010,1,26,13,16247
2010,1,26,14,16197
2010,1,26,15,16216
2010,1,26,16,17019
2010,1,26,17,17076
2010,1,26,18,16648
2010,1,26,19,15891
2010,1,26,20,14964
2010,1,26,21,13700
2010,1,26,22,12619
2010,1,26,23,11517
2010,1,27,0,10690
2010,1,27,1,10399
2010,1,27,2,10365
2010,1,27,3,10412
2010,1,27,4,10855
2010,1,27,5,12289
2010,1,27,6,14758
2010,1,27,7,16278
2010,1,27,8,16845
2010,1,27,9,16988
2010,1,27,10,17061
2010,1,27,11,16913
2010,1,27,12,16984
2010,1,27,13,16945
2010,1,27,14,16868
2010,1,27,15,16898
2010,1,27,16,17559
2010,1,27,17,17107
2010,1,27,18,16649
2010,1,27,19,15753
2010,1,27,20,14815
2010,1,27,21,13605
2010,1,27,22,12513
2010,1,27,23,11353
2010,1,28,0,10529
2010,1,28,1,10161
2010,1,28,2,10022
2010,1,28,3,10057
2010,1,28,4,10466
2010,1,28,5,11904
2010,1,28,6,14341
2010,1,28,7,15839
2010,1,28,8,16411
2010,1,28,9,16531
2010,1,28,10,16563
2010,1,28,11,16346
2010,1,28,12,16306
2010,1,28,13,16211
2010,1,28,14,16084
2010,1,28,15,16076
2010,1,28,16,16821
2010,1,28,17,16832
2010,1,28,18,16552
2010,1,28,19,15731
2010,1,28,20,14622
2010,1,28,21,13373
2010,1,28,22,12305
2010,1,28,23,11158
2010,1,29,0,10397
2010,1,29,1,10023
2010,1,29,2,9917
2010,1,29,3,9977
2010,1,29,4,10365
2010,1,29,5,11765
2010,1,29,6,14288
2010,1,29,7,15981
2010,1,29,8,16676
2010,1,29,9,16819
2010,1,29,10,16868
2010,1,29,11,16693
2010,1,29,12,16658
2010,1,29,13,16468
2010,1,29,14,16119
2010,1,29,15,15901
2010,1,29,16,16433
2010,1,29,17,16502
2010,1,29,18,15932
2010,1,29,19,15106
2010,1,29,20,14063
2010,1,29,21,13095
2010,1,29,22,12362
2010,1,29,23,11284
2010,1,30,0,10446
2010,1,30,1,9958
2010,1,30,2,9745
2010,1,30,3,9667
2010,1,30,4,9725
2010,1,30,5,10177
2010,1,30,6,11152
2010,1,30,7,12318
2010,1,30,8,13537
2010,1,30,9,14111
2010,1,30,10,14121
2010,1,30,11,13899
2010,1,30,12,13609
2010,1,30,13,13316
2010,1,30,14,13150
2010,1,30,15,13283
2010,1,30,16,14369
2010,1,30,17,15042
2010,1,30,18,14599
2010,1,30,19,13957
2010,1,30,20,13139
2010,1,30,21,12416
2010,1,30,22,11570
2010,1,30,23,10719
2010,1,31,0,10052
2010,1,31,1,9601
2010,1,31,2,9391
2010,1,31,3,9279
2010,1,31,4,9245
2010,1,31,5,9595
2010,1,31,6,10092
2010,1,31,7,10656
